age,phone_brand,watch_owner,watch_brand,purchase_year,spent_watch,OS_pair,watch_satisfaction,frequency_wear,churn_reasons,intention_buy,intention_when,intention_price,important_reachable,important_fitnesstrack,important_voicecommands,important_sleep,important_emergency,important_payment,important_smartdevices,important_productive,important_phone_disconnect,important_fashionable,important_navigation,interested_apple,interested_samsung,interested_google,interested_amazon,interested_fitbit,interested_fossil,digital_fluency,innovators,vigorous_activities,strength_training,moderate_activities,light_activities,meditation,outdoor_activities,goal_active_lifestyle,goal_optimize_fitness,goal_mindfulness,goal_health,goals_juggling,transport_walk,transport_cycle,transport_drive,transport_train,transport_bus,transport_taxi,phone_navigate,situation1,situation2
35 - 44,Apple iPhone,Yes,Sense,2020,ÃÂ£149 or less,iOS,Somewhat satisfied,Daily,lack of customization,Strongly Considering,In 4 to 6 months,Â£149 or less,Very important,Very important,Slightly important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Very important,Slightly important,Extremely interested,Slightly interested,Very interested,Not interested at all,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,At least once a week,Several times a month,Daily,Daily,Less often than once a month,Less often than once a month,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Everyday,Not at all,Rarely,A few times a week,Rarely,Rarely,Not at all,Living with significant other,Living with children
21 - 24,Apple iPhone,Yes,Apple,2021,ÃÂ£200 - ÃÂ£249,iOS,Somewhat satisfied,Daily,lack of customization,Slightly Considering,In 4 to 6 months,Â£250 - Â£299,Slightly important,Extremely Important,Moderately important,Very important,Moderately important,Moderately important,Slightly important,Not at all important,Very important,Moderately important,Slightly important,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Several times a week,Several times a week,At least once a week,Several times a month,Several times a week,Several times a month,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,A few times a week,A few times a week,Rarely,A few times a month,Rarely,Rarely,A few times a week,Living alone but in a relationship,Living with significant other
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,compatibility,Strongly Considering,In 2 to 3 months,Â£300 - Â£349,Very important,Very important,Not at all important,Extremely Important,Not at all important,Extremely Important,Very important,Extremely Important,Very important,Moderately important,Moderately important,Very interested,Very interested,Extremely interested,Not interested at all,Extremely interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Never,Never,Less often than once a month,At least once a week,Never,Less often than once a month,Somewhat disagree,Somewhat agree,Neutral,Strongly disagree,Strongly disagree,A few times a week,Not at all,Not at all,A few times a week,A few times a month,Rarely,A few times a month,Living with house mates,NULL
45 - 54,Apple iPhone,Yes,,2020,ÃÂ£450 - ÃÂ£499,iOS,Very satisfied,Daily,battery life,Not at all Considering,NaN,NaN,Slightly important,Very important,Moderately important,Moderately important,Slightly important,Very important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Very interested,Not interested at all,Very interested,Not interested at all,Not interested at all,Not interested at all,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Several times a week,Never,Several times a week,Several times a week,Several times a month,Less often than once a month,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Everyday,Not at all,Rarely,A few times a month,A few times a month,Rarely,A few times a month,Living with significant other,Living with children
25 - 34,Samsung Galaxy,No,NaN,NaN,NaN,NaN,NaN,NaN,lack of customization,Strongly Considering,In 4 to 6 months,Â£300 - Â£349,Not at all important,Extremely Important,Not at all important,Extremely Important,Extremely Important,Extremely Important,Moderately important,Slightly important,Very important,Extremely Important,Very important,Not interested at all,Extremely interested,Very interested,Not interested at all,Very interested,Somewhat interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Never,Several times a week,Never,At least once a week,Never,Never,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Everyday,Not at all,Not at all,Everyday,Not at all,Not at all,A few times a week,Living with significant other,NULL
21 - 24,Apple iPhone,Yes,Fitbit,2020,ÃÂ£150 - ÃÂ£199,iOS,Somewhat satisfied,A few times a week,compatibility,Strongly Considering,In 7 to 12 months,Â£250 - Â£299,Very important,Extremely Important,Moderately important,Very important,Moderately important,Moderately important,Slightly important,Very important,Moderately important,Very important,Moderately important,Very interested,Very interested,Extremely interested,Slightly interested,Very interested,Somewhat interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",At least once a week,At least once a week,Several times a month,Several times a week,At least once a month,At least once a week,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Strongly disagree,A few times a week,Rarely,Rarely,A few times a month,A few times a month,Rarely,A few times a month,Living with significant other,NULL
21 - 24,Apple iPhone,Yes,Apple,2020,ÃÂ£350 - ÃÂ£399,iOS,Very satisfied,Daily,lack of customization,Slightly Considering,In 7 to 12 months,Not sure,Very important,Extremely Important,Slightly important,Extremely Important,Very important,Extremely Important,Moderately important,Extremely Important,Moderately important,Slightly important,Slightly important,Very interested,Not interested at all,Very interested,Not interested at all,Very interested,Don't know,Neutral,"Sooner than most people, but not among the first",Several times a month,Several times a week,Several times a week,Several times a week,Never,Less often than once a month,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,A few times a week,Not at all,Not at all,A few times a month,A few times a month,A few times a month,Not at all,Living with significant other,NULL
25 - 34,Google Pixel,Yes,Garmin,2020,ÃÂ£150 - ÃÂ£199,Android,Somewhat satisfied,Daily,comfort and design,Strongly Considering,In 4 to 6 months,Â£149 or less,Very important,Slightly important,Moderately important,Slightly important,Very important,Moderately important,Not at all important,Slightly important,Not at all important,Moderately important,Extremely Important,Slightly interested,Very interested,Extremely interested,Not interested at all,Extremely interested,Very interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Daily,Several times a month,Several times a week,Daily,Less often than once a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Everyday,A few times a week,A few times a week,A few times a week,A few times a month,Rarely,A few times a week,Living with significant other,NULL
25 - 34,Apple iPhone,Yes,Apple,2020,ÃÂ£500 or more,iOS,Somewhat satisfied,A few times a week,lack of customization,Strongly Considering,In 2 to 3 months,Â£400 - Â£449,Extremely Important,Extremely Important,Very important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Not interested at all,Very interested,Extremely interested,Not interested at all,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Daily,Less often than once a month,At least once a week,Daily,Less often than once a month,At least once a month,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Everyday,Everyday,Rarely,A few times a month,A few times a month,A few times a week,A few times a week,Living with significant other,NULL
25 - 34,Apple iPhone,Yes,Fitbit,2019,ÃÂ£149 or less,Android,Neither satisfied nor dissatisfied,Daily,lack of customization,Strongly Considering,In 2 to 3 months,Â£250 - Â£299,Moderately important,Extremely Important,Slightly important,Extremely Important,Very important,Extremely Important,Not at all important,Slightly important,Not at all important,Very important,Very important,Extremely interested,Not interested at all,Very interested,Not interested at all,Somewhat interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,At least once a week,Several times a week,Several times a week,Several times a week,Several times a month,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,A few times a week,A few times a month,Not at all,A few times a month,A few times a month,Rarely,A few times a week,Living alone but in a relationship,NULL
